Python实习生,重庆且动科技有限公司,成都-青羊区,4.5-6千/月,07-28
Python开发工程师,康德曼（北京）互联网技术有限公司,异地招聘,0.8-2万/月,07-28
Python开发工程师,成都迈思信息技术有限公司,成都-锦江区,1-1.5万/月,07-28
Python开发工程师（可实习）,西安舟济网络科技有限公司,成都-高新区,4.5-6千/月,07-28
自动化测试系统架构师 - Python,戴尔（中国）有限公司,成都,30-40万/年,07-28
Python编程策划（北京）,西瓜创客,异地招聘,1.5-2.5万/月,07-28
Python高级讲师 外派长沙 优秀者3-4w,湖南潭州教育网络科技有限公司成都分公司,成都-高新区,2-2.5万/月,07-27
Python中高级开发工程师,江苏云瀚股份有限公司,成都-武侯区,1.5-2万/月,07-27
Python爬虫工程师,成都小启科技有限责任公司,成都-高新区,0.8-1万/月,07-27
Python开发工程师,淄博东雷商贸有限公司,成都-武侯区,1.3-2.5万/月,07-26
RPA软件售前工程师（Python）,上海艺赛旗软件股份有限公司,异地招聘,6-8千/月,07-26
python中级工程师,成都智菲科技有限公司,成都,1-1.5万/月,07-26
Python后台Web开发工程师,深圳市风云实业有限公司,成都-青羊区,0.8-1.1万/月,07-26
软件开发工程师（Python）,四川川大智胜软件股份有限公司,成都,0.6-1.5万/月,07-26
Python研发工程师（成都）-NF(J11506),绿盟科技,成都-高新区,1-1.5万/月,07-26
实习+Python开发工程师,成都汇融天下网络科技有限公司,成都-高新区,4.5-6千/月,07-26
Python开发工程师（外派）,惠州市宝高网络科技有限公司,成都-高新区,3.5-4.5万/月,07-26
Python开发工程师,成都银河思亩特数字技术有限公司,成都-武侯区,4-8千/月,07-26
JAVA/Python开发工程师（成都）,上海步科自动化股份有限公司,成都-郫都区,0.8-1.5万/月,07-26
Python开发工程师,四川弘和集团,成都-武侯区,0.8-1.5万/月,07-26
python高级工程师,深圳华智共创教育科技有限公司成都分公司,成都-高新区,1-1.5万/月,07-26
python初级开发工程师,成都睿讯商务咨询有限公司,成都-高新区,4.5-6千/月,07-26
Python Intern,新电信息科技（成都）有限公司,成都-高新区,0.6-1.2万/月,07-26
编程/python/scratch/机器人老师,中森云链（成都）科技有限责任公司,成都-高新区,6-8千/月,07-25
Python开发工程师,成都星杰电子商务有限公司,成都-金牛区,0.7-1.5万/月,07-25
Python开发工程师,彩讯科技股份有限公司,成都,0.7-1.2万/月,07-25
Python开发工程师,北京思特奇信息技术股份有限公司四川分公司,成都-高新区,1-1.5万/月,07-25
Python开发工程师,海南太美航空股份有限公司,成都,2-2.6万/月,07-25
开发经理（python）,达观数据,成都,0.8-1.2万/月,07-24
Python开发工程师,成都易慧家科技有限公司,成都-高新区,0.8-1.5万/月,07-22
中级python开发工程师,成都博雅成信科技有限公司,成都-高新区,6-8千/月,07-19
Python开发工程师（云计算）,成都同辉数联信息技术有限公司,成都-武侯区,0.6-1.2万/月,07-19
Python开发工程师Web方向,深圳市意科特实业有限公司,成都-高新区,1.2-2.5万/月,07-19
Python中高级开发工程师,成都国铁电气设备有限公司,成都-双流区,0.8-1万/月,07-19
Python在线讲师,北京轻备教育科技有限公司,成都-武侯区,350元/天,07-19
Python数据分析讲师,成都恒图教育咨询有限公司,成都-青羊区,1.5-2万/月,07-16
Python开发工程师,麦田春雪科贸（北京）有限公司,异地招聘,2-3千/月,07-15
D0013Python实习生,陕西天元尚健贸易有限公司,成都-锦江区,3.5-4.5千/月,07-10
Python/PHP开发实习生,深信服科技股份有限公司,异地招聘,4.5-8千/月,07-08
python开发工程师（双休+奖金）,成都龙捷科技有限公司,成都,0.5-1.5万/月,06-29
Python工程师,成都高新信息技术研究院,成都-高新区,8-10万/年,06-26
高级python工程师（成都1人）,曙光信息产业股份有限公司,成都-高新区,1-1.5万/月,06-20
Python工程师,北京天广汇通科技有限公司成都分公司,成都,0.8-1.5万/月,06-11
软件开发工程师（js/Python）,四川友信立智能科技有限公司,成都-锦江区,0.8-2万/月,06-06
Python讲师,成都易腾创想智能科技有限公司,成都-温江区,0.7-1.2万/月,06-03
python开发工程师,中电长城网际系统应用有限公司,成都-高新区,150元/天,06-02
Python开发实习生,上海图趣信息科技有限公司（Wayz.ai）,成都-高新区,0.8-1.5万/月,05-31
爬虫/python工程师,四川云之航网络科技有限公司,成都-高新区,8-10万/年,05-29
高级运维工程师,成都红星数字科技有限公司,成都-锦江区,0.7-1.2万/月,07-28
